Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
761878,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
762016,2.10650,2.10650,2.10650,1.36112,0.00000,0.87749,26.8872,1,4,0.13,0.00,0.00
762155,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
762299,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
762441,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
762588,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
762731,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8872,1,4,0.13,0.00,0.00
762876,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8872,1,4,0.13,0.00,0.00
763015,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8872,1,4,0.13,0.00,0.00
763154,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8872,1,4,0.13,0.00,0.00
763301,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8872,1,4,0.13,0.00,0.00
763458,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8872,1,0,0.13,0.00,0.00
763596,2.10650,2.10650,2.10650,1.36112,0.00000,0.87749,26.8872,1,0,0.13,0.00,0.00
763739,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8872,1,0,0.13,0.00,0.00
763878,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8872,1,0,0.13,0.00,0.00
764017,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
764159,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8884,1,0,0.13,0.00,0.00
764312,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8872,1,0,0.13,0.00,0.00
764450,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
764588,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
764732,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8872,1,0,0.13,0.00,0.00
764871,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
765013,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
765160,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
765303,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
765441,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
765580,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
765724,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
765866,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
766013,2.10637,2.10637,2.10637,1.36138,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
766151,2.10637,2.10637,2.10637,1.36138,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
766294,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
766433,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
766572,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
766719,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
766866,2.10637,2.10637,2.10637,1.36138,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
767004,2.10650,2.10650,2.10650,1.36112,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
767142,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
767286,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
767425,2.10650,2.10650,2.10650,1.36112,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
767567,2.10637,2.10637,2.10637,1.36138,0.00000,0.87746,26.8895,1,0,0.13,0.00,0.00
767714,2.10637,2.10637,2.10637,1.36138,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
767857,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8884,1,0,0.13,0.00,0.00
767995,2.10637,2.10637,2.10637,1.36138,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
768134,2.10637,2.10637,2.10637,1.36112,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
768278,2.10637,2.10637,2.10637,1.36138,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
768420,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
768562,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
768711,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8895,1,0,0.13,0.00,0.00
