Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
13824,2.06925,2.06925,2.06925,1.36238,0.00000,0.86974,26.6333,1,1,0.00,0.37,0.00
13967,2.06937,2.06937,2.06937,1.36225,0.00000,0.86977,26.6321,1,1,0.00,0.37,0.00
14110,2.06937,2.06937,2.06937,1.36238,0.00000,0.86977,26.6321,1,1,0.00,0.37,0.00
14253,2.06950,2.06950,2.06950,1.36225,0.00000,0.86979,26.6333,1,1,0.00,0.37,0.00
14395,2.06962,2.06962,2.06962,1.36238,0.00000,0.86982,26.6321,1,1,0.00,0.37,0.00
14538,2.06975,2.06975,2.06975,1.36238,0.00000,0.86985,26.6321,1,1,0.00,0.37,0.00
14681,2.06975,2.06975,2.06975,1.36238,0.00000,0.86985,26.6321,1,1,0.00,0.37,0.00
14824,2.07000,2.07000,2.07000,1.36238,0.00000,0.86990,26.6333,1,1,0.00,0.37,0.00
14967,2.07012,2.07012,2.07012,1.36225,0.00000,0.86993,26.6333,1,1,0.00,0.37,0.00
15110,2.07037,2.07037,2.07037,1.36238,0.00000,0.86998,26.6321,1,1,0.00,0.37,0.00
15253,2.07037,2.07037,2.07037,1.36238,0.00000,0.86998,26.6321,1,1,0.00,0.36,0.00
15395,2.07050,2.07050,2.07050,1.36238,0.00000,0.87000,26.6333,1,1,0.00,0.37,0.00
15538,2.07062,2.07062,2.07062,1.36238,0.00000,0.87003,26.6333,1,1,0.00,0.37,0.00
15681,2.07062,2.07062,2.07062,1.36238,0.00000,0.87003,26.6321,1,1,0.00,0.37,0.00
15824,2.07075,2.07075,2.07075,1.36238,0.00000,0.87006,26.6344,1,1,0.00,0.37,0.00
15967,2.07100,2.07100,2.07100,1.36225,0.00000,0.87011,26.6344,1,1,0.00,0.37,0.00
16110,2.07100,2.07100,2.07100,1.36238,0.00000,0.87011,26.6333,1,1,0.00,0.37,0.00
16253,2.07112,2.07112,2.07112,1.36238,0.00000,0.87014,26.6333,1,1,0.00,0.37,0.00
16395,2.07125,2.07125,2.07125,1.36238,0.00000,0.87016,26.6344,1,1,0.00,0.37,0.00
16645,2.07137,2.07137,2.07137,1.36238,0.00000,0.87019,26.6344,1,1,0.00,0.37,0.00
16778,2.07137,2.07137,2.07137,1.36238,0.00000,0.87019,26.6344,1,1,0.00,0.37,0.00
