# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
2180485,0,0.6777,,,,,,,1
2180635,0,,,,,-0.0407,,,1
2180786,0,,,,,,,0.4779,1
2180937,0,,,,,,0.0435,,1
2181088,0,,,,25.7135,,,,1
2181216,0,,,2.7460,,,,,1
2181344,0,0.6777,,,,,,,1
2181472,0,,,2.7460,,,,,1
2181622,0,,,,,-0.0407,,,1
2181773,0,,,,,,,0.4779,1
2181924,0,,,,,,0.0435,,1
2182075,0,,,,25.7135,,,,1
2182203,0,0.6777,,,,,,,1
2182331,0,,,2.7462,,,,,1
2182459,0,0.6777,,,,,,,1
2182609,0,,,,,-0.0407,,,1
2182760,0,,,,,,,0.4779,1
2182911,0,,,,,,0.0435,,1
2183062,0,,,,25.7135,,,,1
2183190,0,,,2.7466,,,,,1
2183318,0,0.6777,,,,,,,1
2183446,0,,,2.7466,,,,,1
2183596,0,,,,,-0.0407,,,1
2183747,0,,,,,,,0.4779,1
2183898,0,,,,,,0.0435,,1
2184049,0,,,,25.7135,,,,1
2184177,0,0.6777,,,,,,,1
2184305,0,,,2.7470,,,,,1
2184433,0,0.6777,,,,,,,1
2184583,0,,,,,-0.0407,,,1
2184734,0,,,,,,,0.4779,1
2184885,0,,,,,,0.0435,,1
2185036,0,,,,25.7135,,,,1
2185164,0,,,2.7473,,,,,1
2185292,0,0.6777,,,,,,,1
2185420,0,,,2.7473,,,,,1
2185548,0,0.6777,,,,,,,1
2185698,0,,,,,-0.0407,,,1
2185849,0,,,,,,,0.4779,1
2186000,0,,,,,,0.0435,,1
2186151,0,,,,25.7135,,,,1
2186279,0,,,2.7476,,,,,1
2186407,0,0.6777,,,,,,,1
2186535,0,,,2.7475,,,,,1
2186685,0,,,,,-0.0407,,,1
2186836,0,,,,,,,0.4779,1
2186987,0,,,,,,0.0435,,1
2187138,0,,,,25.7135,,,,1
2187266,0,0.6777,,,,,,,1
2187394,0,,,2.7479,,,,,1
2187522,0,0.6777,,,,,,,1
2187672,0,,,,,-0.0407,,,1
2187823,0,,,,,,,0.4779,1
2187974,0,,,,,,0.0435,,1
2188125,0,,,,25.7135,,,,1
2188253,0,,,2.7481,,,,,1
2188381,0,0.6777,,,,,,,1
2188509,0,,,2.7481,,,,,1
2188659,0,,,,,-0.0407,,,1
2188810,0,,,,,,,0.4779,1
2188961,0,,,,,,0.0435,,1
2189112,0,,,,25.7135,,,,1
2189240,0,0.6777,,,,,,,1
2189368,0,,,2.7486,,,,,1
2189496,0,0.6777,,,,,,,1
2189646,0,,,,,-0.0407,,,1
2189797,0,,,,,,,0.4779,1
2189948,0,,,,,,0.0435,,1
2190099,0,,,,25.7135,,,,1
2190227,0,,,2.7490,,,,,1
2190355,0,0.6777,,,,,,,1
2190483,0,,,2.7489,,,,,1
2190633,0,,,,,-0.0407,,,1
2190784,0,,,,,,,0.4779,1
2190935,0,,,,,,0.0435,,1
2191086,0,,,,25.7135,,,,1
2191214,0,0.6777,,,,,,,1
2191342,0,,,2.7492,,,,,1
2191470,0,0.6777,,,,,,,1
2191620,0,,,,,-0.0407,,,1
2191771,0,,,,,,,0.4779,1
2191922,0,,,,,,0.0435,,1
2192073,0,,,,25.7135,,,,1
2192201,0,,,2.7495,,,,,1
2192329,0,0.6777,,,,,,,1
2192457,0,,,2.7495,,,,,1
2192607,0,,,,,-0.0407,,,1
2192758,0,,,,,,,0.4779,1
2192909,0,,,,,,0.0435,,1
2193060,0,,,,25.7135,,,,1
2193188,0,0.6777,,,,,,,1
2193316,0,,,2.7498,,,,,1
2193444,0,0.6777,,,,,,,1
